ID	Reference	Second Reference	Text	Attribution	Possible Source	First mentioned	Variant	Second Variant
20	Ps 1:1		Bουλὴ ἀσεβῶν ἐστιν ἡ παρὰ τὸν λόγον τῆς φυσικῆς δυνάμεως	Maximus the Confessor		II:360	II:44	IV:266
21	Ps 1:1		Βουλὴ ἀσεβῶν ἡ παρὰ τὸν λόγον τῆς φυσικῆς δυνάμεως.	Maximus the Confessor		II:44	II:360	IV:266
22	Ps 1:1		Εἰ καὶ τὸ μὴ ἁμαρτάνειν δυσκατόρθωτον παρὰ ἀνθρώποις εἶναι	Origen		IV:367		
23	Ps 1:1		Εἰσὶ δε ἀσεβῆ μὲν βουλεύματα τὸ νομίζειν		Diodore of Tarsus	V:4		
24	Ps 1:1		Ἐν τοῖς τοῦ βίου ἐπιτηδεύμασιν.			III:247		
25	Ps 1:1		Ἐπεὶ οὖν οἱ πολλοὶ περιπλανόμενοι ταῖς αἰσθήσεσι	Gregory of Nyssa		III:528-529		
26	Ps 1:1		Ἔτι ὁ ἀνὴρ ἀρχικώτερον καὶ τελειώτερον ἐν νοήσει	Gregory of Nyssa		III:529		
27	Ps 1:1		Λοιμοὶ δικασταί, προδόται τοῦ δικαίου, διδάσκαλοι	Hesychius of Jerusalem		III:333		
28	Ps 1:1		Λοιμοί εἰσιν οἱ μὴ μόνον τὰ αἰσχρὰ πράττοντες ἀλλὰ καὶ ἑτέρους	Theodoret of Cyrrhus	Diodore of Tarsus	II:59		
29	Ps 1:1		Μακάριον λέγει τὸν μήτε ὁμογνωμονήσαντα		Hesychius of Jerusalem (Antonelli)	V:4		
30	Ps 1:1		Μακάριος μόνος ταλανισμοῦ παντὸς ὑπάρχει ἀλλότριος			IV:58		
31	Ps 1:1		Ὅτι δὲ καὶ αἱ καθέδραι διδασκαλίας εἰσὶ σὐμβολα, παρίσταται	Basil of Caesarea		IV:367-368		
32	Ps 1:1		Πρὸς τὸ τελεσθῆναι ἀφορῶμεν τὸ κατὰ δύναμιν ἔργον			III:529-530		
33	Ps 1:1		Τουτέστιν οὐ πεφρονηκὼς καὶ διδἀξαι τὰ διάστροφα πολυπλόκων			IV:368		IV:422
34	Ps 1:1		Τρεῖς τὰς τάξεις τοῦ κακοῦ δηλοῖ· ὁ γὰρ ἐν καρδίᾳ τοὺς πονηροὺς			II:59		
35	Ps 1:1		Ὡς Λώτ.	Hesychius the priest, Hesychius the monk	Hesychius of Jerusalem (Antonelli)	II:31	II:44	II:129, IV:5
36	Ps 1:1		Ὡς ὁ Λώτ.	Hesychius the priest, Hesychius the monk	Hesychius of Jerusalem (Antonelli)	II:44	II:31	II:129, IV:5
37	Ps 1:2		Διὰ τοῦτο καὶ ὁ θεῖος Δαβὶδ νῦν ὄντως δείκνυσι τίς ἐστιν			III:530		
38	Ps 1:2		Ὁ ἐν ἀρεταῖς εὐοδούμενος, νυκτὸς δὲ ὁ ἐν τῇ τῶν παθῶν ἐπαναστάσει			III:334		
39	Ps 1:2		Ὁ Χριστὸς ὡς νομοθέτης ἐν τῷ οἰκείῳ νόμῳ τὸ θέλημα	Hesychius of Jerusalem		III:333		
40	Ps 1:2		Ὅρα δὲ λόγου ἀκολουθίαν ὅπερ κατὰ τοὺς ἀγαθοὺς	Basil of Caesarea, Gregory of Nyssa	Gregory of Nyssa	III:530		
41	Ps 1:2		Τῷ υἱῷ τοῦ θεοῦ ἔσται ὅμοιος, τῷ παρὰ τὰς διεξόδους	Athanasius of Alexandria	Athanasius of Alexandria	V:4		
42	Ps 1:3		Διδόασι τὸν καρπὸν ἐν καιρῷ οἷον τὴν φιλοπτωχίαν	Hesychius of Jerusalem		III:333		
43	Ps 1:3		Διέξοδοι ὑδάτων αἱ τοῦ βαπτίσματος θεῖαι ἐκροαί.			V:183		
44	Ps 1:3		Ἔλεγεν δέ τις τῶν ἁγίων φύλλα εἶναι τῶν ἀσκητῶν	Origen	apophthegma	I:127		I:249, IV:136
45	Ps 1:3		Ἐξ ὁμοιώσεως παραβολῆς ὕδατα αἱ θεῖαι γραφαί			II:59		
46	Ps 1:3		Ἐπειδή ἐστί τις ἐπίνοια παρὰ τοῖς δικαίοις περὶ τὴν πρᾶξιν	Asterius, Hesychius of Jerusalem		II:359-360		IV:3, IV:266
47	Ps 1:3		Ἔσται γάρ φησι ὁ ἐνάρετος ὁ Χριστός, τουτέστιν ὁμοιωθήσεται			III:530-531		
48	Ps 1:3		Εὐοδοῦται ὁ τρέχων τὴν τοῦ θεοῦ ὁδὸν μὴ ὄντος	Hesychius of Jerusalem		III:333		
49	Ps 1:3		Καὶ ὁ κύριος τοῖς ἑαυτοῦ μαθηταῖς παραγγέλλων ἔλεγεν			IV:368		
50	Ps 1:3		Καρπὸς μὲν ἀνθρώπου τὰ ἔργα, φύλλον δὲ ὁ λόγος	Ephrem		III:531		
51	Ps 1:3		Ξύλον ἐστὶ ζωῆς ὁ τοῦ θεοῦ υἱός.			IV:136		
52	Ps 1:3		Ξύλον ζωῆς ὁ Χριστός ἐστιν, “διέξοδοι“ δὲ ”ὑδάτων”	Origen	Athanasius of Alexandria	III:174		
53	Ps 1:3		Ξύλον πεφυτευμένον ὁ ζωοποιὸς σταυρός.			V:183		
54	Ps 1:3		Ξύλον φησὶ φυτευθὲν ὁ σταυρὸς τοῦ σωτῆρος	John Chrysostom		III:173-174		
55	Ps 1:3		Ὁ κατὰ τὸν παρόντα βίον δίκαιος καὶ ἅγνος καὶ ἄμωμος πορευὀμενος	Origen		IV:366		III:447, IV:422
56	Ps 1:3		Ὁ τέλειος ἄνθρωπος τὸ οἰκεῖον θέλημα τῷ νόμῳ συναρμόσας	Theodoret of Cyrrhus		III:531		
57	Ps 1:3		Ὁ τῆς ἀρετῆς ἀθλητὴς ὑπὸ τῶν θείων λόγων καθάπερ			III:531		
58	Ps 1:3		Ὁ τῷ θείῳ νόμῳ οὐκ ἀνεπιστάτως ἀλλὰ μετὰ ἑκουσίας			III:531		
59	Ps 1:3		Οὗτοι δέ εἰσιν οἱ μὴ δεχόμενοι τὰς διδαχὰς τῶν ἀποστόλων.	Theodoret of Cyrrhus		IV:368		IV:422
60	Ps 1:3		Φύλλα τοὺς λόγους τῆς διδασκαλίας λέγει, καρπὸν δὲ	Theodoret of Cyrrhus		II:59		
61	Ps 1:3		Φύλλον ἐστὶν ἡ ἠθικὴ φιλοσοφία· ὁ οὖν ἐν ταῖς περιστάσεσιν	Maximus the Confessor		II:360		IV:266
62	Ps 1:3		Φύλλον τῆς ἀρετῆς ἡ περὶ αὐτὴν δόξα ἧς οἱ μὲν ὑποκριταὶ	Hesychius of Jerusalem		III:333		
63	Ps 1:4		(…) τοὺς Ἰουδαίους αἰνιττόμενος ὡς ἀσεβεῖς εἰκότως	Hesychius of Jerusalem	Theodoret of Cyrrhus	V:87		III:333
64	Ps 1:4		Ἄγγελον δὲ ἐκριπτοῦντα αὐτοῖς τὸν αὐτοῖς τιμωροῦντα ἄγγελον.			IV:368		
65	Ps 1:4		Ἀλλὰ τιμηθήσονται.		Hesychius of Jerusalem (Antonelli)	IV:6	II:31, II:44	IV:366
66	Ps 1:4		Ἁρμόζει δὲ ταῦτα περὶ Ἰουδαίων λέγεσθαι· ἐκεῖνοι γὰρ διὰ	Cyril of Alexandria	Cyril of Alexandria	III:532		
67	Ps 1:4		Καὶ τοῦτο ἐξ ὁμοιώσεως δηλούσης τῶν ἀσεβῶν εὐρίπιστον.			II:59		II:129
68	Ps 1:4		Καὶ τοῦτο ἐξ ὁμοιώσεως δηλούσης τῶν ἀσεβῶν τὸ εὐρίπιστον.			II:129		II:59
69	Ps 1:4		Καὶ ὡς χνοῦς λικμηθήσονται καὶ ὑπὸ τῶν ἐναντίων πνοῶν		Hesychius of Jerusalem (Antonelli)	IV:6		
70	Ps 1:4		Ὅτι λίαν εἰσὶν ἀνόμοιοι τῷ εὐσεβεῖ οἱ ἀσεβεῖς· ὁ μὲν γὰρ	Basil of Caesarea		III:531-532		
71	Ps 1:4		Οὐχ οὕτως οἱ ἀσεβεῖς τιμηθήσονται ὑπὸ τοῦ θεοῦ.		Hesychius of Jerusalem (Antonelli)	II:44	II:31, IV:6	IV:366
72	Ps 1:4		Πειρασμοῦ πνεύσαντος ὡς χνοῦς τῇδε κἀκεῖσε	Hesychius of Jerusalem		III:333		V:87
73	Ps 1:4		Τάχα δὲ ὡσεὶ χνοῦς γίνονται τουτέστι τῷ διαβόλῳ	Origen		III:532		
74	Ps 1:4		Τιμηθήσονται ὡς αὐτοί.		Hesychius of Jerusalem (Antonelli)	II:31	II:44, IV:6	IV:366
75	Ps 1:4		Τὸ δέυτερον οὐχ οὕτως παρ' οὐδένι κεῖται ἐν τῷ Ἑξαπλῷ.		hexapla	III:49-50		IV:215
76	Ps 1:5		[10 litt]τα πρόβατα ἀπὸ τῶν ἐρίφων.			III:140		
77	Ps 1:5		(…) μηδὲ ἐοικέναι τοῖς παρ’ ὕδασι φυτοῖς		Theodoret of Cyrrhus	V:87		
78	Ps 1:5		Ἀλλὰ καὶ ἐνταῦθά ἐστι κρίσις εἰς ἣν οἱ ἀσεβεῖς οὐκ ἀναστήσονται	Maximus the Confessor		II:360		III:532-533, IV:266
79	Ps 1:5		Ἀναστήσονται οὐκ <εἰς κρί>σιν ἀλλ’ εἰς κατάκρισιν			II:59		
80	Ps 1:5		Ἐν συναγωγῇ δικαίων, φησί, καὶ ἐν βουλῇ καὶ ἐν στάσει		Cyril of Alexandria, lexeis	II:129		III:140
81	Ps 1:5		Καθ' ὑπέρβατον νοητέον ἐν τῇ κρίσει· φησὶν οὐκ ἀναστήσονται			IV:368		
82	Ps 1:5		Κρίσιν τὴν ἐκλογήν· οὐ μεθέξουσι τῆς ἀποστολικῆς ἐκλογῆς	Hesychius of Jerusalem		III:333		
83	Ps 1:5		Τὸ εἰς κρίσιν, οὐκ εἰς ἐρώτησιν.	Origen	Evagrius	II:244		III:332
84	Ps 1:5		Φασὶ τὸ αὐτεξούσιον τὸ λογικόν· τοῦ λογικοῦ δὲ τὸ βουλευτικόν	Maximus the Confessor	Origen	II:360-361		III:532-533, IV:266, V:86
85	Ps 1:5		Ὥσπερ ὁ ποιμὴν τὰ πρόβατα ἀποστέλλει <τῶν> ἐρίφων		Hesychius of Jerusalem (Antonelli)	IV:6		IV:136
86	Ps 1:6		Ἀγαπᾷ, φησίν, καὶ ἐποπτεύει.			II:129		
87	Ps 1:6		Ἀποστῶμεν ταῖς κακίαις· ἡ γὰρ πρώτη πρὸς τὸ ἀγαθὸν εἴσοδος		Nicetas of Heraclea	III:533		
88	Ps 1:6		Ἀπρακτίσει, ἀπολήξει μετὰ τὴν ἀνάστασιν.			II:88		
89	Ps 1:6		Ἀπώλεια γὰρ ἔσται τῶν πονηρῶν πράξεων καὶ οὐδεὶς ἔσται			II:60		
90	Ps 1:6		Ἐπειδὴ περὶ παιδαγωγίας εἶδός ἐστι καὶ ὁ μακαρισμός	Clement of Alexandria	Clement of Alexandria	III:533		
91	Ps 1:6		Ἢ τάχα ἀλογώτατον πεποίηται τὸν μακαρισμόν· ὁ γὰρ μὴ πορευθεὶς	John of Damascus		III:334		
92	Ps 1:6		Καὶ ἀνύπαρκτος γίνεται, ἐκεῖνοι δὲ οἷς συμβέβηκεν		Origen	III:533		I:127
93	Ps 1:6		Καὶ μακαρίζει μὲν ὁ Δαβὶδ τὸν μὴ ταῖς ἀπάταις τῶν ἀσεβῶν		Nicetas of Heraclea	III:533		
94	Ps 1:6		Καὶ πάλιν “ἔγνω κύριος τοὺς ὄντας αὐτοῦ”· τοῖς δὲ ἁμαρτωλοῖς			III:533		
95	Ps 1:6		Καὶ τοῦτο δὲ πιστευτέον ὅτι οἷς οὐκ ἔσχεν ὑστέρησις χώραν	John of Damascus		III:334		
96	Ps 1:6		Λέγομεν καὶ ὅτι τῇ ἀσθενείᾳ ἡμῶν συγκαταβαίνων			III:334		
97	Ps 1:6		Ὁδὸν τὰς πράξεις φησίν.			III:140		
98	Ps 1:6		Ὁδὸν τὸ ἔργον ἑκάστου φησίν.	Cyril of Alexandria		III:333		
99	Ps 1:6		Περὶ δὲ τῶν ἀσεβῶν, τί φησιν		Theodoret of Cyrrhus	V:87		
100	Ps 1:6		Τὸ γινώσκει ἀντὶ τοῦ ἀγαπᾷ.	John of Damascus	Athanasius of Alexandria	II:59	III:334	
101	Ps 1:6		Τὸ γινώσκει ἀντὶ τοῦ ἀγαπᾷ κατὰ τὸ οἶδά σε παρὰ πάντας	John of Damascus	Athanasius of Alexandria	III:334	II:59	
102	Ps 1:6		Τουτέστιν ἡ κακία καὶ ἡ ἀσέβεια, οὐκ αὐταὶ αἱ οὐσίαι	Basil of Caesarea	Origen	III:533		I:127
103	Ps 11 hypothesis		Εἰ οὖν τρίτῃ ἡμέρᾳ ἀνέστη ὁ κύριος, διὰ τί ἡ ὀγδόη ἀνάστασις	John Chrysostom		IV:370		III:448
104	Ps 11 title		Καὶ διὰ τί δεύτερον κεῖται “ὑπὲρ τῆς ὀγδόης”; Ψαλμὸς ὀγδόην τὴν ἀνάστασιν	Jo(hn/bius)	John Chrysostom, Jobius	IV:140-141		
105	Ps 11 title		Κατὰ τὰ προειρημένα εἰς τὸν ἕκτον ψαλμὸν ὑπὲρ τῶν κατὰ	Hesychius of Jerusalem		III:337		
106	Ps 11:1		Οἱ δὲ λαμβάνουσιν αὐτὸν εἰς τὴν ἀναστάσιμον τοῦ		Hesychius of Jerusalem (Jagić)	II:173		
107	Ps 11:1		Χρὴ τοῦτον (sic) ὁ καθ’ ἕκαστον ἄνθρωπος	Athanasius of Alexandria		V:6		
108	Ps 11:2		Ἢ ἐκλιπόντων τῶν ὁσίων καὶ εὐσεβῶν ὠλιγώθησαν τὰ τῆς ἀληθείας δόγματα	Theodoret of Cyrrhus		IV:10		
109	Ps 11:2		Λέγοι δ’ ἂν καὶ περὶ τῶν δοκούντων αὐτοῦ φίλων ὁ Δαβὶδ	Theodoret of Cyrrhus	Hesychius of Jerusalem (comm. magn.)	I:251		I:306, II:361, IV:268
110	Ps 11:2		Τὸ ἐκλέλοιπεν ὅσιος ἀντὶ τοῦ ἐξέπνευσεν· καὶ ποῖος ὅσιος	John Chrysostom		III:448		
111	Ps 11:3		Ἀντὶ τοῦ ψευδῆ καὶ ἀνωφελῆ.			V:6		
112	Ps 11:3		Ὅτι ἐκλέλοιπεν ὅσιος καὶ πάντες τὴν ἐναντίαν ὁδεύουσι, καὶ ὁδὸς ὁ βίος			IV:141		
113	Ps 11:4		Τὴν μανίαν ἑαυτῶν ἐπιτείνοντες καὶ θεὸν οὐκ ἔχειν			V:6		
114	Ps 11:4		Χείλη παρέστιν ἡμῖν.			V:6		
115	Ps 11:5		Ἐγὼ δὲ οἶμαι τὸ τίς τίθεται ἀντὶ το<ῦ> οὐδεὶς ἡμῶν κύριος ὑπάρχ<ει>.	Boulgarias		V:184		
116	Ps 11:5		Ἔοικεν ἀπὸ τοῦ μέρους ἤγουν τῶν χειλέων καὶ τῆς γλώττης	John Chrysostom		III:337		
117	Ps 11:5		Καὶ δέδωκέ σοι ταῦτα ἵνα δοξολογῇς, οὐχ ἵνα βλασφημῇς			III:337		
118	Ps 11:5		Τοὺς λέγοντας· τῇ γλώσσῃ ἡμῶν δυναστεύσωμεν			II:173		
119	Ps 11:5		Τουτέστιν ἡμεῖς εὑρεταὶ γεγόναμεν τῆς καλλιεπείας	Cyril of Alexandria	Cyril of Alexandria	III:174-175		V:40
120	Ps 11:6		Ἐν σωτηρίᾳ σου.			II:246		
121	Ps 11:6		Ἐρεῖ ταῦτα τῶν εὐσεβούντων ἕκαστος	Athanasius of Alexandria		V:6		
122	Ps 11:6		Σωτήριον λέγω τὸν τἰμιον σταυρόν· βουλῇ γὰρ ἰδίᾳ		Hesychius of Jerusalem (Antonelli)	III:141		
123	Ps 11:7		Αἱ γὰρ διαθῆκαι καὶ αἱ ἐντολαὶ τοῦ θεοῦ καθαραί εἰσι μηδεμίαν	Hesychius of Jerusalem	John Chrysostom	V:6	II:45	
124	Ps 11:7		Αἱ γὰρ διαθῆκαι καὶ αἱ ἐντολαὶ τοῦ θεοῦ καθαραί εἰσιν.	Hesychius of Jerusalem	John Chrysostom	II:45	V:6	
125	Ps 11:7	Ps 11:6	Ἀναστήσομαι, φησί, φανερωθήσεται ἐν τῇ δι' ἐθελουσίου	Eusebius of Caesarea		IV:371		IV:423, V:6
126	Ps 11:7		Γῇ γὰρ εἶ εἶπεν ὁ θεὸς τῷ ἀνθρώπῳ			III:337		
127	Ps 11:7		Δόκιμον δὲ ἀντὶ τοῦ χωροῦν τῇ γῇ.		hexapla	II:302		
128	Ps 11:7		Ἑπταπλασίως τὸ πολλὰ πλασίως καλεῖ.			III:131		
129	Ps 11:7		Ἔστιν ἄργυρος ἑπτάκις πυρούμενος καὶ δοκιμώτερος	Arsenius	Hesychius of Jerusalem (Antonelli)	V:7		
130	Ps 11:7		Καὶ οὕτως ἁγνὰ ὡς δεδοκιμασμένον καὶ διὰ χωνείας	Origen		III:337		
131	Ps 11:7		Τινὲς δοκιμεῖον λέγουσιν ἵν' ᾖ τὸ δεδοκιμασμένον· τὸ γὰρ δοκίμιον		Origen	IV:181-182		
132	Ps 11:7		Ὥσπερ γάρ φησι ἄργυρος πυρούμενος διαφόρως θαυμαστότερος		Hesychius of Jerusalem (Antonelli)	III:141		
133	Ps 11:8		Διὰ τοῦτο φὐλαξον ἡμᾶς ὅτι σε ἐλπίδα ἔχομεν.	Origen		IV:371		
134	Ps 11:8		Ἐν ὅσῳ περιῆσαν· λείπει δὲ τὸ πονηρόν (?).			ΙΙ:173		
135	Ps 11:8		Σύ φησιν εἶ ὁ φύλαξ ἡμῶν διὰ παντός· οὐκ εἶπεν εὐκτικῶς	John Chrysostom		III:337		
136	Ps 11:8		Ὑπὸ γὰρ τῆς σῆς φρουρόμενοι χάριτος πάντων		Theodoret of Cyrrhus	IV:300		
137	Ps 11:9		Ἐν ἐρήμῳ, κύκλῳ τοῦ κόσμου, περιπατοῦσιν· ἐμφωλεύουσι	Arsenius		IV:370		
138	Ps 11:9		Ἐπολυώρησας· πολλῆς φροντίδος ἠξίωσας τὸ τῶν ἀνθρώπων		Evagrius	IV:141		
139	Ps 11:9	Ps 11:8	Ἡ πολυωρία τὴν πολυημέρωσιν δηλοῖ καὶ τὸ ἀτελεύτητον τοῦ μετὰ ταῦτα βίου.	Cyril of Alexandria, Athanasius of Alexandria	Cyril of Alexandria	III:300		III:325, III:338, IV:139, V:184, V:193
140	Ps 11:9		Καὶ μυρίας ἄλλας πράξεις θείας καὶ ὑπὲρ ἄνθρωπον ὁ ἄνθρωπος		John Chrysostom	III:131		
141	Ps 11:9		Κύκλῳ γὰρ ἡμῶν ταῖς ἐπιβουλαῖς ἐπεμβαίνουσιν τῷ θανάτῳ			III:141		IV:370
142	Ps 11:9		Ὁ δὲ κύρ (...) πολὺ ἐφύλαξας.			III:248		
143	Ps 11:9		Οἱ κατ' ἀλήθειαν υἱοὶ ἀνθρώπων πρὸς τὸ ὕψος τὸ σὸν ἐπεκτείνονται			III:449		
144	Ps 11:9		Σὺ γὰρ εἶ ὁ φύλαξ ἡμῶν τὴν εὐθεῖαν ὁδόν, οἱ ἀσεβεῖς περιπατοῦσι	John Chrysostom		III:337-338		
145	Ps 11:9		Τουτέστι σκολιὰς ὁδοὺς κύκλους ἐχούσας ὁδεύουσιν.	Athanasius of Alexandria		III:448		V:7
146	Ps 11:9		Ὥσπερ δὴ καὶ τὰ δολερὰ τῶν θηρίων καὶ ὅσα τοιαῦτα	Athanasius of Alexandria		V:7		
147	Ps 11 end		Ψαλμὸς ΙΑ στίχοι ἐκκλησιαστικοῦ Η καὶ ἁγιοπολίτου ΙΖ.			II:123		
148	Ps 21 title		Ἀλλ' εὔλογόν ἐστιν εἰς τὸν Χριστὸν δέχεσθαι τὸν ψαλμὸν		catena (reader/compiler)	III:344		
149	Ps 21 title		Εἴρηται ὁ ψαλμὸς ὑπὸ τοῦ Δαβὶδ ὑπὲρ τῆς ἐνσάρκου οἰκονομίας	Hesychius of Jerusalem	Hesychius of Jerusalem (comm. magn.)	III:344		
150	Ps 21:1		Καὶ ἡ ἐκ νεκρῶν αὐτοῦ ζωηφόρος ἀνάστασις.			III:143		
151	Ps 21:1		Ὄρθριος γὰρ ἡ ἀνάστασις τοῦ Χριστοῦ.			IV:467		
152	Ps 21:1		Πάντες οἱ πατέρες οἱ τὸν ψαλμὸν ἑρμηνεύσαντες τούτῳ		Origen	V:185		IV:183
153	Ps 21:2		Διπλασιάζει τοῦ θεοῦ τὴν ἐπίκλησιν ἵνα δηλώσει		Hesychius of Jerusalem (comm. magn.)	V:10		
154	Ps 21:2		Ἢ ἀφεστήκασι τῆς σωτηρίας μου.		Hesychius of Jerusalem (comm. magn.)	V:10		
155	Ps 21:2		Κατὰ δὲ τοὺς ἑρμηνευτὰς τὸν ἀσεβοῦντα λαὸν			III:344-345		
156	Ps 21:2		Μακρὰν ποιοῦσιν τῆν σωτηρίαν μου ἀπ' ἐμοῦ τὰ παραπτώματά μου			IV:145		
157	Ps 21:2		Τὸ δὲ “πρόσχες μοι” ὡς μὴ κείμενον ἐν τῷ ἑβραικῷ			III:344		
158	Ps 21:3		Αὐτὸς γὰρ ἐδόξασε τὸν πατέρα δι΄ ἑαυτοῦ.			IV:374		IV:426
159	Ps 21:3		Γινώσκομεν γάρ φησι τίνος χάριν <αἱ περιστάσεις>.			III:345		I:309
160	Ps 21:3		Ἐν εὐθυμίαις· αὗται γὰρ ἡμέρᾳ καὶ νυκτὶ τῶν περιστάσεων	Didymus of Alexandria		I:252		II:362, IV:269
161	Ps 21:3		Ἡμέραν καὶ νύκτα τὸν καιρὸν τοῦ σταυροῦ καλεῖ· ἀπὸ γὰρ ὥρας	Hesychius of Jerusalem	Hesychius of Jerusalem (comm. magn.)	II:248		III:374
162	Ps 21:3		Ἤτοι οὐκ ἠγνόησα τὴν οἰκονομίαν· οὐ δυνατὸν			IV:468		
163	Ps 21:3		Ἢ ὅτι ... τοῦ μὴ ει... ἐμοὶ τοῦτο ... μὲν γὰρ ... βουλόμενος μὲν τῇ προ…			IV:204		
164	Ps 21:3		Ἢ ὅτι ἐγὼ γινώσκω τίνος χάριν μοι αἱ περιστάσεις.	Theodore of Mopsuestia, Theodoret of Cyrrhus		I:252 = II:362		IV:269
165	Ps 21:3		Προτρεπτικὸν εἰς τὸ καὶ νυκτὸς εὔχεσθαι.		Origen	V:185		
166	Ps 21:3		Τινὲς τοῦτο καθ’ ὑποστιγμὴν ἀναγινώσκουσιν.		catena (reader/compiler)	V:133		
167	Ps 31:3		Τουτέστιν εἰς ἀνοήτους ἐκφέρομαι λογισμοὺς ὅπερ ἐπὶ τοῦ Δαβὶδ		catena (reader/compiler), Diodore of Tarsus	II:174		
168	Ps 21:4		Ἐλογιζόμην γὰρ ὅτι ἅγιος ὢν ἐν ἁγίοις κατοικεῖς καὶ ἐκείνων ἀκούεις			II:174		
169	Ps 21:4		Τοῦτο δὲ οὐ κατὰ σύγκρισιν νοητέον		catena (reader/compiler)	I:131-132		
170	Ps 21:5		Καὶ οἱ πατέρες ἐξ ὧν εἰμι τῷ κατὰ σάρκα οὗτοι εἰσιν οἱ πατριάρχαι			II:304		
171	Ps 21:5		Ὥσπερ ἐπὶ Μωυσέως καὶ τῶν ἐξ Ἰσραὴλ <ἠλευθέρω>σεν ἐκ χειρὸς			II:60	II:175	
172	Ps 21:5		Ὥσπερ ἐπὶ Μωυσέως καὶ τῶν ἐξ Ἰσραήλ, ὅτι ἔσωσεν			II:175	II:60	
173	Ps 21:6		Ἕως ὧδε περὶ ἀντιλήψεως πρόκειται· ἀπεντεῦθεν δὲ περὶ θλίψεως			II:175		
174	Ps 21:6		Θαυμἀζει ὁ Χριστὸς τὴν τῶν Ἰουδαίων σκληροκαρδίαν			II:46		
175	Ps 21:6		Οἱ γὰρ αὐτοῦ πρὸ τοῦ νόμου πατέρες καὶ πατριάρχαι καὶ προφῆται			IV:374		IV:426
176	Ps 21:7		Διὰ τοῦ σταυροῦ ὡς σκώληξ κατεφρονήθη.			IV:145		
177	Ps 21:7		Κατὰ σάρκας μὲν λέγει· κατασαρκούμενος δἐ ἐστιν ὅταν		Adrian	II:175		
178	Ps 21:7		Ὄνειδος δὲ ἀνθρώπων τὸν ἐν τῷ σταυρῷ ὀνειδισμὸν			II:175	III:143	
179	Ps 21:7		Περὶ Χριστοῦ λέγει· σκώληξ γὰρ ἡ ἁγία σάρξ ἡ ἡνωμένη	Maximus the Confessor		IV:373		III:143, IV:328, IV:425, IV:468
